Name,Alias,Description,Type
nsho_popobj_80,Northern Shoveler 80th Percentile Population Objective,,Double
wodu_popobj_80,Wood duck 80th Percentile Population Objective,,Double
abdu_dud80,American Black 80th Percentile Duck Use Days,,Double
amwi_dud80,American Wigeon 80th Percentile Duck Use Days,,Double
bwte_dud80,Blue-winged teal 80th Percentile Duck Use Days,,Double
gadw_dud80,Gadwall 80th Percentile Duck Use Days,,Double
agwt_dud80,Green-winged teal 80th Percentile Duck Use Days,,Double
mall_dud80,Mallard 80th Percentile Duck Use Days,,Double
nopi_dud80,Northern Pintail 80th Percentile Duck Use Days,,Double
nsho_dud80,Northern Shoveler 80th Percentile Duck Use Days,,Double
wodu_dud80,Wood duck 80th Percentile Duck Use Days,,Double
abdu_lta_demand_kcal,American Black Duck Long-Term Average Energy Demand (kcal),,Double
amwi_lta_demand_kcal,American Wigeon Long-Term Average Energy Demand (kcal),,Double
bwte_lta_demand_kcal,Blue-winged teal Long-Term Average Energy Demand (kcal),,Double
gadw_lta_demand_kcal,Gadwall Long-Term Average Energy Demand (kcal),,Double
agwt_lta_demand_kcal,Green-winged teal Long-Term Average Energy Demand (kcal),,Double
mall_lta_demand_kcal,Mallard Long-Term Average Energy Demand (kcal),,Double
nopi_lta_demand_kcal,Northern Pintail Long-Term Average Energy Demand (kcal),,Double
nsho_lta_demand_kcal,Northern Shoveler Long-Term Average Energy Demand (kcal),,Double
wodu_lta_demand_kcal,Wood duck Long-Term Average Energy Demand (kcal),,Double
abdu_demand_80th_kcal,American Black Duck 80th Percentile Energy Demand (kcal),,Double
amwi_demand_80th_kcal,American Wigeon 80th Percentile Energy Demand (kcal),,Double
bwte_demand_80th_kcal,Blue-winged teal 80th Percentile Energy Demand (kcal),,Double
gadw_demand_80th_kcal,Gadwall 80th Percentile Energy Demand (kcal),,Double
agwt_demand_80th_kcal,Green-winged teal 80th Percentile Energy Demand (kcal),,Double
mall_demand_80th_kcal,Mallard 80th Percentile Energy Demand (kcal),,Double
nopi_demand_80th_kcal,Northern Pintail 80th Percentile Energy Demand (kcal),,Double
nsho_demand_80th_kcal,Northern Shoveler 80th Percentile Energy Demand (kcal),,Double
wodu_demand_80th_kcal,Wood duck 80th Percentile Energy Demand (kcal),,Double
s_himarsh,High Salt Marsh,Known hectares of High Salt Marsh (ha) in the watershed.,Double
s_lomarsh,Low Salt Marsh,Known hectares of Low Salt Marsh (ha) in the watershed.,Double
f_marsh,Fresh Marsh,Known hectares of Fresh Marsh (ha) in the watershed.,Double
fm_marsh,Managed Fresh Marsh,Known hectares of Managed Fresh Marsh (ha) in the watershed.,Double
fm_shallowopen,Managed Fresh Shallow Open Water,Known hectares of Managed Fresh Shallow Open Water (ha) in the watershed.,Double
f_shallowopen,Fresh Shallow Open Water,Known hectares of Fresh Shallow Open Water (ha) in the watershed.,Double
f_shores,Fresh Shores,Known hectares of Fresh Shores (ha) in the watershed.,Double
s_mudflat,Mudflat Salt,Known hectares of Mudflat Salt (ha) in the watershed.,Double
s_nd_marsh,Salt Marsh (Non-dominant),Known hectares of Salt Marsh (Non-dominant) (ha) in the watershed.,Double
f_deepwater,Deepwater Fresh,Known hectares of Deepwater Fresh (ha) in the watershed.,Double
subtidal,Subtidal,Known hectares of Subtidal (ha) in the watershed.,Double
f_woody,Freshwater Woody,Known hectares of Freshwater Woody (ha) in the watershed.,Double
f_aquaticbed,Freshwater Aquatic Bed,Known hectares of Freshwater Aquatic Bed (ha) in the watershed.,Double
s_aquaticbedintertidal,Saltwater Aquatic Bed Intertidal,Known hectares of Saltwater Aquatic Bed Intertidal (ha) in the watershed.,Double
s_woody,Saltwater Woody,Known hectares of Saltwater Woody (ha) in the watershed.,Double
phragmites,Phragmites,Known hectares of Phragmites (ha) in the watershed.,Double
fm_aquaticbed,Managed Freshwater Aquatic Bed,Known hectares of Managed Freshwater Aquatic Bed (ha) in the watershed.,Double
